track_id,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time
47,37.980335,23.735333,23.712,-0.1515,-0.0025,0.04,37.980331,23.735336,23.6724,-0.1313,-0.0033,0.08,37.980329,23.735338,23.6541,-0.1223,-0.0036,0.12,37.980327,23.735339,23.6388,-0.0898,-0.004,0.16,37.980325,23.735341,23.63,-0.0337,-0.0044,0.2,37.980323,23.735343,23.6304,0.0393,-0.0047,0.24,37.980321,23.735344,23.6401,0.0965,-0.0051,0.28
48,37.980325,23.735265,31.1917,0.1323,-0.0184,0.04,37.98032,23.735269,31.2263,0.1146,-0.0241,0.08,37.980317,23.735272,31.2422,0.1068,-0.027,0.12,37.980314,23.735274,31.2555,0.0784,-0.03,0.16,37.980312,23.735276,31.2633,0.0294,-0.033,0.2,37.980309,23.735278,31.2629,-0.0343,-0.0359,0.24,37.980307,23.73528,31.2544,-0.0843,-0.0389,0.28
49,37.980247,23.73528,20.2118,0.0558,1.7438,0.04,37.980243,23.735281,20.2432,0.1794,2.4263,0.08,37.980241,23.735281,20.2739,0.2514,2.8009,0.12,37.980239,23.735281,20.3118,0.2797,3.2054,0.16,37.980237,23.735281,20.3505,0.2642,3.6439,0.2,37.980235,23.735281,20.384,0.2096,4.1197,0.24,37.980233,23.735281,20.407,0.1184,4.6124,0.28
50,37.980385,23.735246,24.358,-0.1218,0.0216,0.04,37.980381,23.735249,24.3261,-0.1056,0.028,0.08,37.980379,23.735251,24.3115,-0.0983,0.0312,0.12,37.980377,23.735252,24.2992,-0.0722,0.0344,0.16,37.980375,23.735254,24.292,-0.0271,0.0376,0.2,37.980373,23.735256,24.2924,0.0316,0.0407,0.24,37.980371,23.735258,24.3002,0.0776,0.0439,0.28
51,37.980437,23.735284,31.3475,0.1837,0.0232,0.04,37.980432,23.735288,31.3955,0.1592,0.0306,0.08,37.980429,23.73529,31.4177,0.1483,0.0343,0.12,37.980426,23.735293,31.4362,0.1089,0.0381,0.16,37.980424,23.735295,31.447,0.0408,0.0419,0.2,37.980421,23.735297,31.4465,-0.0476,0.0458,0.24,37.980419,23.735299,31.4346,-0.1171,0.0497,0.28
52,37.980004,23.735639,32.4842,0.0182,0.0359,0.04,37.979998,23.735644,32.4889,0.0158,0.047,0.08,37.979996,23.735646,32.4911,0.0147,0.0525,0.12,37.979993,23.735648,32.493,0.0108,0.0581,0.16,37.97999,23.735651,32.4941,0.0041,0.0636,0.2,37.979988,23.735653,32.494,-0.0047,0.0692,0.24,37.979985,23.735655,32.4928,-0.0116,0.0748,0.28
53,37.978479,23.735636,15.6328,0.0655,-0.0042,0.04,37.978481,23.735639,15.6524,0.072,-0.0054,0.08,37.978482,23.735641,15.6629,0.0739,-0.0061,0.12,37.978483,23.735643,15.6732,0.0702,-0.0068,0.16,37.978483,23.735644,15.6827,0.0608,-0.0074,0.2,37.978484,23.735646,15.6906,0.0491,-0.0081,0.24,37.978485,23.735648,15.6971,0.0412,-0.0087,0.28
54,37.979673,23.736253,16.5116,0.2808,-0.0391,0.04,37.979671,23.73625,16.585,0.2433,-0.0512,0.08,37.979671,23.736248,16.6189,0.2267,-0.0572,0.12,37.97967,23.736246,16.6472,0.1664,-0.0631,0.16,37.979669,23.736245,16.6636,0.0624,-0.0689,0.2,37.979668,23.736243,16.6629,-0.0728,-0.0747,0.24,37.979667,23.736241,16.6448,-0.1789,-0.0803,0.28
55,37.979849,23.736569,21.7149,0.1295,0.0273,0.04,37.979846,23.736564,21.7531,0.1402,0.0358,0.08,37.979845,23.736562,21.7735,0.143,0.0401,0.12,37.979844,23.73656,21.7935,0.1341,0.0445,0.16,37.979842,23.736558,21.8113,0.1134,0.0488,0.2,37.979841,23.736556,21.8258,0.0874,0.0532,0.24,37.97984,23.736553,21.8371,0.0692,0.0576,0.28
56,37.97853,23.735739,16.0937,0,-0.0001,0.04,37.978532,23.735743,16.0936,-0.0001,-0.0009,0.08,37.978533,23.735744,16.0936,-0.0001,-0.0009,0.12,37.978534,23.735746,16.0936,-0.0001,-0.0004,0.16,37.978535,23.735748,16.0936,0,0.0005,0.2,37.978536,23.735749,16.0936,0.0002,0.0018,0.24,37.978537,23.735751,16.0923,-0.0179,0.0033,0.28
57,37.978688,23.736094,13.0599,0.494,0.0002,0.04,37.97869,23.736097,13.2059,0.5348,0.0003,0.08,37.97869,23.736098,13.2836,0.5457,0.0003,0.12,37.978691,23.7361,13.3598,0.5116,0.0003,0.16,37.978692,23.736101,13.4278,0.4327,0.0004,0.2,37.978692,23.736102,13.4829,0.3334,0.0004,0.24,37.978693,23.736104,13.5259,0.264,0.0004,0.28
58,37.978312,23.737709,26.7203,-0.1584,0.0578,0.04,37.978309,23.737704,26.6371,-0.4076,0.0777,0.08,37.978307,23.737701,26.5712,-0.5071,0.0886,0.12,37.978306,23.737698,26.4885,-0.6421,0.1006,0.16,37.978304,23.737696,26.3837,-0.8127,0.1135,0.2,37.978303,23.737693,26.2509,-1.032,0.1275,0.24,37.978301,23.73769,26.0863,-1.2545,0.1423,0.28
59,37.977357,23.737778,0,0,0,0.04,37.977357,23.737778,0,0,0,0.08,37.977357,23.737778,0,0,0,0.12,37.977357,23.737778,0,0,0,0.16,37.977357,23.737778,0,0,0,0.2,37.977357,23.737778,0,0,0,0.24,37.977357,23.737778,0,0,0,0.28
60,37.97739,23.737762,0,0,0,0.04,37.97739,23.737762,0,0,0,0.08,37.97739,23.737762,0,0,0,0.12,37.97739,23.737762,0,0,0,0.16,37.97739,23.737762,0,0,0,0.2,37.97739,23.737762,0,0,0,0.24,37.97739,23.737762,0,0,0,0.28
61,37.978771,23.736211,17.6536,0.1648,0.013,0.04,37.978772,23.736215,17.6479,-0.165,0.0177,0.08,37.978773,23.736217,17.6151,-0.2906,0.0201,0.12,37.978774,23.736219,17.5557,-0.5341,0.0225,0.16,37.978775,23.73622,17.4528,-0.8953,0.0249,0.2,37.978776,23.736222,17.2894,-1.3742,0.0273,0.24,37.978777,23.736224,17.0588,-1.8286,0.0297,0.28
62,37.979439,23.735814,14.9654,-0.3793,-0.0873,0.04,37.979438,23.73581,14.8569,-0.3884,-0.1112,0.08,37.979437,23.735809,14.8009,-0.3884,-0.1224,0.12,37.979436,23.735807,14.748,-0.3473,-0.1332,0.16,37.979436,23.735805,14.7039,-0.265,-0.1434,0.2,37.979435,23.735804,14.6733,-0.1599,-0.1532,0.24,37.979434,23.735802,14.6558,-0.0822,-0.1627,0.28
63,37.97857,23.735838,15.8833,0.0428,0.0266,0.04,37.978572,23.735841,15.8818,-0.0428,0.0352,0.08,37.978572,23.735843,15.8733,-0.0755,0.0397,0.12,37.978573,23.735845,15.8579,-0.1387,0.0443,0.16,37.978574,23.735847,15.8312,-0.2325,0.049,0.2,37.978575,23.735848,15.7887,-0.3569,0.0538,0.24,37.978576,23.73585,15.7296,-0.4641,0.0586,0.28
64,37.980357,23.735184,0,0,0,0.04,37.980357,23.735184,0,0,0,0.08,37.980357,23.735184,0,0,0,0.12,37.980357,23.735184,0,0,0,0.16,37.980357,23.735184,0,0,0,0.2,37.980357,23.735184,0,0,0,0.24,37.980357,23.735184,0,0,0,0.28
65,37.978628,23.735957,14.0584,-0.0405,0.118,0.04,37.978629,23.73596,14.0598,0.0405,0.1521,0.08,37.97863,23.735962,14.0678,0.0714,0.1686,0.12,37.978631,23.735963,14.0824,0.1311,0.1848,0.16,37.978632,23.735965,14.1077,0.2198,0.2006,0.2,37.978632,23.735966,14.1478,0.3374,0.2161,0.24,37.978633,23.735968,14.2035,0.4365,0.2315,0.28
66,37.978746,23.736204,9.5973,0.0593,-0.0786,0.04,37.978747,23.736206,9.5953,-0.0593,-0.1034,0.08,37.978748,23.736207,9.5835,-0.1045,-0.1151,0.12,37.978748,23.736208,9.5621,-0.1921,-0.1264,0.16,37.978749,23.736209,9.5251,-0.322,-0.1371,0.2,37.978749,23.73621,9.4663,-0.4942,-0.1473,0.24,37.97875,23.736211,9.3831,-0.6616,-0.1569,0.28
67,37.978802,23.736305,0,0,0,0.04,37.978802,23.736305,0,0,0,0.08,37.978802,23.736305,0,0,0,0.12,37.978802,23.736305,0,0,0,0.16,37.978802,23.736305,0,0,0,0.2,37.978802,23.736305,0,0,0,0.24,37.978802,23.736305,0,0,0,0.28
